userid,playtime_last_two_weeks
76561198004815337,1764
76561198104617422,0
76561198857368997,0
76561198263064311,4057
76561198139473191,0
76561198063141665,0
76561198359386380,1717
76561198104836469,1573
76561198367253725,0
76561198080524596,0
76561198279246926,0
76561198018611631,1
76561198065125431,687
76561198445833086,1071
76561198012383072,753
76561197973199827,1766
76561198093356488,924
76561198113291914,2016
76561198001764628,0
76561198059989780,0
userid,playtime_last_two_weeks
76561198272400768,8
76561198083031657,0
76561198105187989,24
76561197970502988,198
76561198383355486,0
76561198267940671,1865
76561198051742459,1238
76561198088105401,869
76561198060134427,710
76561198141423373,1373
76561198083433152,0
76561198039009439,0
76561198087635703,18
76561198058132679,993
76561198123748482,0
76561198001410626,18
76561198040360145,795
76561198314433435,92
76561198278668051,97
76561197987490467,0
userid,playtime_last_two_weeks
76561198252184066,957
76561198010479092,659
76561198200325414,155
76561198212780781,139
76561198034048537,0
76561198799126701,0
76561198055431677,1147
76561198012277910,0
76561197972318657,1142
76561198072817055,516
76561198268984983,444
76561198110373415,0
76561198245596414,3777
76561198062506049,0
76561198241337302,0
76561198251902522,926
76561198324484050,0
76561198092585050,463
76561198367693493,1290
76561198087647921,0
userid,playtime_last_two_weeks
76561198385290956,230
76561198390452017,1521
76561198245773904,1
76561198009200651,0
76561197970564899,0
76561198323880385,77
76561198111970505,691
76561198153114766,0
76561198259856581,22
76561198273997429,2957
76561198063388920,0
76561198263582843,2255
76561198093815934,2145
76561198116580489,0
76561198276046148,874
76561198153791645,0
76561198408489109,910
76561198322428320,14
76561198274262617,25
76561198186357419,50
userid,playtime_last_two_weeks
76561198104392527,0
76561198177994765,0
76561198077311187,1919
76561198447208245,972
76561198273149926,5
76561198058420171,5505
76561198081095667,0
76561197989594474,118
76561198077060205,1587
76561198149677544,0
76561198035239764,554
76561198203178269,4015
76561198111579479,568
76561198030787876,322
76561198156101018,173
76561198413302246,12
76561198116463709,344
76561198168867659,0
76561198452446591,0
76561198121822869,17
userid,playtime_last_two_weeks
76561198176226490,1170
76561198033200463,0
76561198047552967,0
76561197965016995,260
76561198231747140,0
76561198300760869,2369
76561198016758717,309
76561198236057832,5074
76561198841452875,0
76561198307966711,1319
76561198163010648,1295
76561198344110106,1350
76561198024918684,247
76561198089529759,0
76561198047479993,0
76561198262621581,242
76561198273898029,2775
76561198799368583,8876
76561198125832477,732
76561198070122395,195
userid,playtime_last_two_weeks
76561198047602059,0
76561197998013188,50
76561198051372539,0
76561198059461260,596
76561198245963022,1216
76561198053839991,0
76561198387031560,0
76561198102409758,5202
76561198137066475,73
76561198834967291,0
76561198171545443,615
76561198260576733,0
76561198151558156,0
76561198018575892,0
76561197969914156,0
76561198185546610,87
76561198126694680,1
76561197978010263,272
76561198142433624,1
76561198011643937,10470
userid,playtime_last_two_weeks
76561198138311864,0
76561198037079805,0
76561198110886862,0
76561198072521901,3108
76561197993105475,0
76561198135871205,4704
76561198299163513,131
76561198049232324,0
76561198057815250,5233
76561198151806596,0
76561198334836339,1171
76561198054087876,917
76561198021920226,0
76561198134748848,46
76561198090191457,2104
76561198219450897,1668
76561198257345643,0
76561198135467547,0
76561198149016258,0
76561198123923702,288
userid,playtime_last_two_weeks
76561197970339916,47
76561198300980868,471
76561198169041637,60
76561198058642215,114
76561198089510392,0
76561198140571756,0
76561198065711435,0
76561198272715900,1023
76561198076088655,0
76561198065033287,126
76561198072372781,1517
76561198173390866,0
76561198799580557,0
76561198449658038,801
76561198147513220,0
76561198081801686,408
76561198127928614,0
76561198041902509,0
76561198355803018,507
76561198079106500,0
userid,playtime_last_two_weeks
76561198317302706,72
76561197989097181,0
76561198191713605,0
76561198184673757,177
76561198111506879,2161
76561198271829366,838
76561198348124025,0
76561198151598896,0
76561197983121924,0
76561198089711811,37
76561198012290919,0
76561198117350802,2464
76561198067140227,0
76561198035168871,167
76561198112089611,0
76561198331787819,0
76561198082452479,77
76561198113883127,0
76561198180033955,146
76561198332419686,0
userid,playtime_last_two_weeks
76561198211236255,0
76561198174809053,536
76561198019586537,0
76561198046086145,0
76561198045389894,30
76561198132434883,0
76561198293997430,0
76561197997585955,142
76561198809521812,1544
76561198051020876,0
76561198093407064,0
76561198185539410,0
76561198356184367,0
76561198044457170,0
76561198175935194,0
76561198309935137,0
76561198056080951,0
76561198324919971,0
76561198376173842,0
76561198871847387,0
userid,playtime_last_two_weeks
76561198172314371,0
76561198001949396,0
76561198871593876,0
76561198091480225,0
76561198447751058,522
76561198085602545,0
76561198090614993,0
76561198047859912,0
76561198207248356,0
76561198010773264,0
76561198046791573,305
76561197975365252,1400
76561198815812147,300
76561198063913244,0
76561197970364818,0
76561198118261362,0
76561198141478731,0
76561198240789706,1820
76561198319903315,0
76561198119547923,9
userid,playtime_last_two_weeks
76561198341228009,779
76561197980009436,0
76561198243862974,2446
76561197960396581,0
76561198236409310,0
76561198111706329,0
76561198059719825,10
76561198073512499,14
76561198078857076,427
76561198014928251,0
76561198130072286,2963
76561197989306372,0
76561198373194177,16
76561198217965751,542
76561198004915682,0
76561198166203213,0
76561198236301552,0
76561198288282006,0
76561198122453897,599
76561198170146618,0
userid,playtime_last_two_weeks
76561197967407410,14
76561198020095124,0
76561198134303274,0
76561198284701656,1762
76561198226011408,0
76561198144996486,1
76561198374851598,0
76561198034962890,0
76561198351748626,88
76561198116045485,0
76561198248565372,59
76561198214482869,2291
76561198319609525,764
76561198157715339,0
76561198111781071,50
76561198017436445,41
76561198028555324,166
76561198452784897,0
76561198112071723,2129
76561198138238391,679
userid,playtime_last_two_weeks
76561198129022439,0
76561198195791730,278
76561197990925018,0
76561198135015084,0
76561198024624139,0
76561197982480672,0
76561198028228939,0
76561198148232279,1621
76561198157828930,575
76561198127508584,1107
76561197960975025,0
76561198070703950,0
76561198062969833,0
76561198801100809,14
76561198118529249,1487
76561198258476352,0
76561198269463049,836
76561198058632109,0
76561198079340672,0
76561198141684494,79
userid,playtime_last_two_weeks
76561198116983908,0
76561198077721071,20
76561198058900894,0
76561198126451215,54
76561198065929949,0
76561198203132772,0
76561198099555416,0
76561198186570291,0
76561197975224525,395
76561198301494072,25
76561198162918456,527
76561198167659380,0
76561198050849656,0
76561198323352601,555
76561198092899824,0
76561198076183234,776
76561198388229775,0
76561198167613782,0
76561198053676329,0
76561197997278470,0
userid,playtime_last_two_weeks
76561198001369286,1181
76561198049944653,0
76561198100803699,0
76561198154746701,2125
76561198233706788,0
76561198011878245,0
76561198304244446,0
76561198880210841,0
76561198031490296,0
76561198119317281,0
76561198381320329,0
76561198053748942,0
76561198231363348,0
76561198082089607,0
76561198206999007,0
76561198352800277,0
76561198037089209,0
76561198194400918,0
76561198292824979,0
76561198210518267,0
userid,playtime_last_two_weeks
76561198160027571,107
76561198286729351,0
76561198059408745,0
76561198344153003,0
76561198007808734,0
76561198152356878,2379
76561198068186662,349
76561198045212979,0
76561198010829056,841
76561198031247275,0
76561198210069337,2216
76561198025591011,907
76561198163197810,0
76561197982949915,0
76561197990469912,0
76561198046528831,0
76561198035301936,0
76561198358175896,0
76561198161327620,0
76561198316850302,0
userid,playtime_last_two_weeks
76561198095359979,1361
76561198053142781,0
76561198315751498,1396
76561198043871944,0
76561198090089122,0
76561198054470548,0
76561197987505686,0
76561198034931307,99
76561198406841492,1765
76561198092728524,0
76561198043566132,0
76561198214995399,0
76561198370405634,0
76561198109742694,0
76561198100169532,1804
76561198125538456,5
76561198412445066,0
76561198070718206,410
76561198005856199,0
76561198073763677,0
userid,playtime_last_two_weeks
76561198003893005,0
76561198045948827,0
76561198168194652,0
76561197984508501,673
76561198221031288,73
76561198161332921,0
76561197970139990,0
76561198039938786,0
76561198217170747,0
76561197982954041,0
76561198213633428,0
76561198294090896,2295
76561198053663828,0
76561198564215046,0
76561198145312626,0
76561198160659106,980
76561198403635541,164
76561198011669199,0
76561198220050421,0
76561198120828929,0
userid,playtime_last_two_weeks
76561198003977147,0
76561198930306133,0
76561198830985411,0
76561198131550854,143
76561198851763065,0
76561198139365937,0
76561198151138505,12
76561198333395604,2338
76561198433185097,3736
76561198204788688,378
76561198018974513,9
76561197985780882,22
76561198036153954,0
76561198119771922,0
76561197988857210,0
76561198084373156,0
76561198252123424,1
76561198331130733,0
76561198053774329,728
76561198101896431,317
userid,playtime_last_two_weeks
76561198107437823,720
76561198066638595,0
76561198103647808,0
76561198230143296,14
76561198060155375,4060
76561198106574351,39
76561198054486365,0
76561198082720051,0
76561198055464133,1
76561198047875257,0
76561198280649740,590
76561197977607385,0
76561198112646879,0
76561198027917006,0
76561198097035887,93
76561198359844579,0
76561198033704395,1707
76561198057507520,11
76561198101365794,1
76561198020620778,0
userid,playtime_last_two_weeks
76561198355404149,0
76561198265183079,48
76561198093179265,0
76561198082843841,0
76561198034100087,0
76561198036185437,9
76561198045676530,0
76561198167325715,0
76561198299985490,1124
76561198061234962,1839
76561198114240989,1
76561198111059565,0
76561198252338752,3
76561198811697768,901
76561198119555956,23
76561198307061826,548
76561198163514894,10
76561197966847375,0
76561198275837794,839
76561198214058531,0
userid,playtime_last_two_weeks
76561198115533505,87
76561198056059629,0
76561198366823497,58
76561198096862831,0
76561198132940918,0
76561198318178358,0
76561198016868530,51
76561198093130900,0
76561198026915795,0
76561198225807584,0
76561198360969760,0
76561198044846400,0
76561198158542478,0
76561198049028391,0
76561198152123793,0
76561198081916288,1263
76561198126812983,0
76561198079347248,4543
76561198246259604,2
76561198202039900,0
userid,playtime_last_two_weeks
76561198178153366,0
76561198090626163,334
76561198066003897,0
76561198207351741,95
76561198178113554,776
76561198212807103,0
76561198045589033,0
76561198132914544,0
76561198034549916,0
76561198049432846,0
76561198040010066,0
76561197999020024,23
