userid,playtime_forever
76561198362346954,318
76561198071276561,5334
76561198175813935,3111
76561198038090589,7692
76561197962823034,1326
76561198167762776,10272
76561198843563906,8214
76561198007182158,12
76561198440723186,3994
76561198120737356,9231
76561198854429800,5926
76561198008910787,11854
76561197977269463,4718
76561198061301767,2215
76561198014146141,3743
76561198411823502,3857
76561198155008477,2106
76561198370501385,7226
76561198046983396,7840
76561198047923172,911
userid,playtime_forever
76561198838367352,6410
76561198864424792,838
76561198143965968,4657
76561198873471189,14803
76561198002954610,69760
76561198009936860,4149
76561197992928478,9110
76561198157830201,5517
76561198127160070,8843
76561198096624184,5174
76561198080327129,5208
76561197962088068,2008
76561198834845549,3946
76561198147964827,13432
76561198049591643,9618
76561198049040096,4066
76561198145701324,6586
76561198219075552,3224
76561198223705780,2397
76561197979996805,4286
userid,playtime_forever
76561198272688567,1271
76561198124874422,5806
76561198365780629,11431
76561198080177336,1683
76561198418386542,7355
76561197997771853,262
76561198114641153,2713
76561198153458314,6495
76561198018473857,31
76561198057730212,4186
76561197995985473,845
76561198806989937,2004
76561198262720667,4844
76561198004416720,1698
76561198077722959,3518
76561198009330904,23750
76561198048928145,3931
76561198030894674,4601
76561198188160803,7721
76561197997460935,2467
userid,playtime_forever
76561198870264213,1889
76561198363311818,7410
76561198303833844,9695
76561198000898636,5252
76561198070310980,4595
76561198127684498,8715
76561198031235763,2184
76561198101334539,649
76561198006181810,7979
76561198106591237,10130
76561198801039069,18
76561198137561733,6872
76561198044625436,6590
76561198124783034,3121
76561198014653450,751
76561198244495860,11223
76561198218130463,5186
76561198157912260,6253
76561198799042151,17376
76561198051785472,2221
userid,playtime_forever
76561198388052572,3562
76561198114818319,1828
76561198094283454,5610
76561198193314953,8758
76561198402244470,5078
76561198813677111,4376
76561198142618475,3287
76561198014745610,5993
76561198209322107,3548
76561197970941844,21180
76561198025819087,3213
76561198015453827,4139
76561197968807811,5598
76561197983044402,12016
76561198018510361,3268
76561198313190052,12882
76561198244543854,4649
76561198834636907,760
76561197970514284,6239
76561198035364525,4250
userid,playtime_forever
76561197970514284,6160
76561198035364525,4208
76561198204909273,13759
76561198241345768,1596
76561198068764699,816
76561198204724323,228
76561198043317784,13
76561198018190127,3206
76561198081505858,6252
76561198133957458,4301
76561198305533198,5796
76561198255788438,3216
76561198028534290,1474
76561198077893706,4769
76561198413302246,44
76561198106952850,4811
76561198019662133,6781
76561198245135984,1868
76561198024342475,3012
76561198096897458,5276
userid,playtime_forever
76561198394580881,6387
76561197978348607,6648
76561198109518106,2564
76561198077696383,4300
76561198096875077,3465
76561198097603315,1714
76561198075306003,2718
76561198060739581,2068
76561197986572155,414
76561198142267785,6333
76561198347243755,2649
76561197968595413,4053
76561198240834954,8595
76561197990134643,5881
76561198018101156,2983
76561198058994831,1366
76561198186812151,1724
76561198121382889,519
76561197999976075,9021
76561198122846847,14149
userid,playtime_forever
76561198001471216,10970
76561198086691522,9959
76561198366136886,3177
76561198097159668,10653
76561198091802971,70
76561197999407402,7677
76561198247900960,6461
76561198069691286,417
76561198044810544,618
76561198021955596,1075
76561197992006866,2136
76561197967952455,11
76561198275079444,668
76561197969594655,5452
76561198806208103,231
76561198858983255,3960
76561198087751271,6427
76561198148160033,4922
76561198075475022,1263
76561198008573498,3025
userid,playtime_forever
76561198147697745,1724
76561198041114879,15307
76561198065463660,2789
76561198032159398,113
76561198050816665,10755
76561198255191124,3147
76561198085936570,2012
76561197960531673,4299
76561198130927570,5292
76561198151273189,20624
76561198147177799,4255
76561198038180102,1698
76561198027978159,740
76561197972315462,1118
76561198135390262,15014
76561198123025044,648
76561198023230131,231
76561198099474466,5034
76561198858190851,1860
76561197994502411,6696
userid,playtime_forever
76561198149195950,6534
76561198255429763,26
76561198085658644,12548
76561198035097376,29725
76561198084908849,3460
76561198315460810,2490
76561198012229247,16
76561198294509710,2545
76561198258165345,2504
76561198396108610,2149
76561198040969163,864
76561198868075305,391
76561198192594538,2342
76561198021950261,24499
