userid,playtime_forever
76561198053605311,4629
76561198048918028,6643
76561197984677271,3033
76561198353978450,3348
76561198101452398,2007
76561198045925786,1969
76561198005352107,1265
76561198358742247,3638
76561198007703051,8465
76561198075673430,1552
76561198043195344,1421
76561198349342447,4380
76561198155540490,971
76561198098289053,850
76561198002620016,439
76561198036864320,1031
76561198002015561,1816
76561198351613253,3667
76561198356685393,5272
76561198242315632,8605
userid,playtime_forever
76561198241407788,1968
76561198846336461,2541
76561197973608826,1377
76561198135880227,1102
76561198032755439,2712
76561198084293687,1587
76561198436656740,2330
76561197989538185,4249
76561198408401465,89
76561198029306243,63
76561198082751870,832
76561197993250764,62
76561198010632882,2412
76561198830539418,1017
76561198311472306,3330
76561198200957370,2894
76561198010177324,1777
76561198137124798,1468
76561198080480372,1979
76561197977269463,1324
userid,playtime_forever
76561198060878843,2083
76561198127636491,8505
76561198895008893,3707
76561198076608925,2271
76561198052193450,531
76561198046458675,4143
76561198195101193,39
76561198062006646,164
76561198316630618,4196
76561198067983479,4184
76561198029149175,2291
76561198115250924,3307
76561198055517158,2250
76561198066422617,3823
76561198079867019,2721
76561198083919609,2385
76561198017911687,3486
76561198938628627,5332
76561198396608540,761
76561198056194424,3961
userid,playtime_forever
76561198910914040,6130
76561198062102982,2479
76561198028578026,3453
76561198329536390,452
76561198143519060,4533
76561198319564214,3455
76561198134334043,759
76561198088384402,3793
76561198013596854,1831
76561198034217511,1795
76561198148370962,3623
76561198084192792,4005
76561198385234050,156
76561197999731303,2222
76561198867037468,85
76561198119430967,2683
76561198107877670,3911
76561198037456952,2761
76561198007078394,2976
76561198204705251,576
userid,playtime_forever
76561198022495807,4431
76561198051300415,1514
76561198122557169,1789
76561198078584884,1420
76561198035272810,2877
76561198199469713,4048
76561198155379066,1752
76561198105236997,3712
76561197969489701,2404
76561198041068725,3019
76561198253354475,6492
76561198025801087,3837
76561198021842613,6622
76561198094828582,4631
76561198059055572,605
76561198353532342,988
76561197998622318,4109
76561198134638052,4302
76561198863033548,147
76561198362028350,1223
userid,playtime_forever
76561198230386556,2294
76561198045986458,5431
76561197989518817,2457
76561198149540059,2429
76561198000943017,2723
76561198341438437,2513
76561198036569301,5234
76561198064938096,3924
76561198151199913,1109
76561198426611781,4861
76561198045047037,278
76561198040779331,822
76561198048367983,1696
76561198015656686,13006
76561198329056356,5806
76561198295976165,2255
76561198058705795,4134
76561198082327494,4223
76561198143292941,3842
76561198053816777,7273
userid,playtime_forever
76561198795496231,6042
76561197994617166,1736
76561198121028521,2247
76561198384168561,735
76561198872346808,5097
76561198018430483,885
76561198027136245,4822
76561198146471583,3412
76561198106941497,3655
76561198837872284,1711
76561198053066247,2173
76561198067221842,3890
76561198142219855,970
76561198287198217,498
76561198008652777,5828
76561198832004814,1996
76561198030647160,3806
76561198053630923,2585
76561198064526127,11372
76561198040250016,3617
userid,playtime_forever
76561198809603998,1924
76561197998095800,2749
76561198014006574,6551
76561198053651890,3285
76561198081773008,1856
76561198135491752,698
76561198052336479,3217
76561197976282901,5424
76561198060548935,5039
76561198170444981,2639
76561198079748362,3750
76561198282762247,260
76561198097017660,1827
76561198362809798,5466
76561198137198140,1069
76561198061543367,989
76561198283767609,2393
76561198067723969,5397
76561198045707123,411
76561198184178143,2156
