userid,playtime_last_two_weeks
76561198053605311,2377
76561198048918028,2643
76561197984677271,288
76561198353978450,2736
76561198101452398,667
76561198045925786,1286
76561198005352107,1137
76561198358742247,3157
76561198007703051,3919
76561198075673430,1552
76561198043195344,533
76561198349342447,567
76561198155540490,266
76561198098289053,850
76561198002620016,439
76561198036864320,1031
76561198002015561,422
76561198351613253,1882
76561198356685393,3340
76561198242315632,2647
userid,playtime_last_two_weeks
76561198241407788,168
76561198846336461,2541
76561197973608826,540
76561198135880227,775
76561198032755439,1300
76561198084293687,1226
76561198436656740,534
76561197989538185,1802
76561198408401465,89
76561198029306243,63
76561198082751870,143
76561197993250764,62
76561198010632882,721
76561198830539418,70
76561198311472306,3330
76561198200957370,1107
76561198010177324,845
76561198137124798,0
76561198080480372,1305
76561197977269463,0
userid,playtime_last_two_weeks
76561198060878843,2113
76561198127636491,5696
76561198895008893,0
76561198076608925,1900
76561198052193450,531
76561198046458675,439
76561198195101193,0
76561198062006646,164
76561198316630618,574
76561198067983479,1035
76561198029149175,2213
76561198115250924,1947
76561198055517158,1272
76561198066422617,1899
76561198079867019,579
76561198083919609,110
76561198017911687,2887
76561198938628627,678
76561198396608540,0
76561198056194424,3729
userid,playtime_last_two_weeks
76561198910914040,1994
76561198062102982,1354
76561198028578026,2845
76561198329536390,452
76561198143519060,1933
76561198319564214,1459
76561198134334043,286
76561198088384402,1056
76561198013596854,60
76561198034217511,1474
76561198148370962,3142
76561198084192792,2453
76561198385234050,156
76561197999731303,904
76561198867037468,0
76561198119430967,2683
76561198107877670,805
76561198037456952,798
76561198007078394,0
76561198204705251,250
userid,playtime_last_two_weeks
76561198022495807,1847
76561198051300415,1514
76561198122557169,1789
76561198078584884,1056
76561198035272810,831
76561198199469713,2079
76561198155379066,706
76561198105236997,1915
76561197969489701,1124
76561198041068725,3019
76561198253354475,46
76561198025801087,2526
76561198021842613,362
76561198094828582,3491
76561198059055572,60
76561198353532342,553
76561197998622318,3364
76561198134638052,278
76561198863033548,0
76561198362028350,1223
userid,playtime_last_two_weeks
76561198230386556,195
76561198045986458,2920
76561197989518817,691
76561198149540059,2429
76561198000943017,1617
76561198341438437,370
76561198036569301,2007
76561198064938096,2485
76561198151199913,868
76561198426611781,388
76561198045047037,15
76561198040779331,822
76561198048367983,1696
76561198015656686,5250
76561198329056356,1650
76561198295976165,1690
76561198058705795,1773
76561198082327494,2733
76561198143292941,3275
76561198053816777,3062
userid,playtime_last_two_weeks
76561198795496231,3268
76561197994617166,944
76561198121028521,1015
76561198384168561,0
76561198872346808,2042
76561198018430483,614
76561198027136245,835
76561198146471583,917
76561198106941497,1414
76561198837872284,41
76561198053066247,827
76561198067221842,0
76561198142219855,970
76561198287198217,498
76561198008652777,1831
76561198832004814,1601
76561198030647160,2202
76561198053630923,1201
76561198064526127,9212
76561198040250016,3052
userid,playtime_last_two_weeks
76561198809603998,1
76561197998095800,710
76561198014006574,3350
76561198053651890,2759
76561198081773008,1856
76561198135491752,90
76561198052336479,1607
76561197976282901,2183
76561198060548935,4970
76561198170444981,834
76561198079748362,1744
76561198282762247,260
76561198097017660,1779
76561198362809798,1356
76561198137198140,0
76561198061543367,989
76561198283767609,855
76561198067723969,1035
76561198045707123,210
76561198184178143,1181
userid,playtime_last_two_weeks
76561198000475812,1519
76561198214839771,940
76561198103582821,2234
76561197993944680,1890
76561198026444359,2943
76561198089939946,154
76561198024252515,107
76561197994177148,0
76561198103512188,2585
76561198096883536,1285
76561197970349683,1374
76561198198521729,3912
76561198253743502,5157
76561198058385719,895
76561198090476265,0
76561198065560688,2003
76561198014810216,1197
76561198083896682,1084
76561198064208345,3006
76561198086346881,1352
userid,playtime_last_two_weeks
76561198054749876,2057
76561198117940997,2830
76561197996729584,48
76561198049629320,824
76561198075616903,1929
76561198078345389,851
76561197972227897,4071
76561198165100106,1625
76561198014384709,1632
76561198140887023,2371
76561198167238455,1676
76561198211713800,2712
76561198261051665,2175
76561198044033677,209
76561198038079239,727
76561197974470898,54
76561198029536938,4268
76561198074087052,289
76561198241412768,993
76561198220756376,1775
userid,playtime_last_two_weeks
76561198072382829,1449
76561198064838029,995
76561198066485590,0
76561198015810453,137
76561198045692943,2906
76561197960961400,1639
76561198115056919,3879
76561198071785489,2534
76561198292275263,606
76561198089177456,1835
76561198343400776,1498
76561198067927179,1845
76561198047195259,1532
76561198119006662,1734
76561198068437955,114
76561198093348438,2312
76561198032251138,188
76561198354571395,911
76561197988021402,3374
76561198177713877,3272
userid,playtime_last_two_weeks
76561198176185489,315
76561198056024201,4560
76561197965158099,706
76561197997346333,1713
76561198028085409,1893
76561198255718459,881
76561197999399568,1326
